"ID" "Mean" "Parity" "Sex" "Herd" "YearSeason" "dam" "BirthWeight" "DAY115" "BF115" "LMA115" "LEAN115"
"DDTCZZC18215704" 1 3 "公" "育3" 181 "DDTCZZC16209095" 1.3 186.42 8.6 NA NA
"DDTCZZC15204603" 1 0 "母" "育1" 151 "DDTCZZC13020490" 1.45 178.25 14.01 NA NA
"DDTCZZC14201060" 1 0 "母" "育1" 143 "DDTCZZC13020331" 1.55 177.59 11.21 NA NA
"DDTCZZC14200886" 1 0 "母" "育1" 143 "DDTCZZC13020336" 0 162.22 11.22 NA NA
"DDTCZZC16207176" 1 1 "公" "育1" 162 "DDTCZZC15202835" 1 164.93 11.47 NA NA
"DDTCZZC18216082" 1 1 "公" "育3" 184 "DDTCZZC17214537" 1.3 181.62 12.06 NA NA
"DDTCZZC15203778" 1 3 "母" "育1" 154 "DDTCZZC13020346" 0.9 188.22 17.74 NA NA
"DDTCZZC17217045" 1 1 "母" "育2" 173 "DDTCZZC16212014" 1.6 199.31 10.56 NA NA
"DDTCZZC18215622" 1 5 "母" "育2" 181 "DDTCZZC15202726" 1.2 195 10.31 NA NA
"DDTCZZC16209575" 1 0 "母" "育3" 162 "DDTCZZC15203147" 1.3 201.9 9.62 NA NA
"DDTCZZC15203386" 1 0 "母" "育1" 151 "DDTCZZC13020446" 1.1 162.89 11.73 NA NA
"DDTCZZC17211933" 1 6 "母" "育1" 171 "DDTCZZC14200402" 1.4 194.92 13.04 NA NA
"DDTCZZC17211902" 1 6 "公" "育1" 171 "DDTCZZC14200186" 2 180.51 11.18 NA NA
"DDTCZZC15202195" 1 0 "母" "育1" 154 "DDTCZZC13020333" 1.65 168.83 14.29 NA NA
"DDTCZZC17212886" 1 4 "公" "育3" 173 "DDTCZZC15203196" 2.2 151.52 8.15 NA NA
"DDTCZZC16208164" 1 0 "母" "育3" 162 "DDTCZZC15206877" 0 174.53 8.66 NA NA
"DDTCZZC18218275" 1 1 "公" "育1" 182 "DDTCZZC17210022" 1.9 217.57 8.16 NA NA
"DDTCZZC18210806" 1 5 "母" "育2" 184 "DDTCZZC15203240" 1.7 214.75 10.6 NA NA
"DDTCZZC14200680" 1 0 "公" "育1" 141 "DDTCZZC13020390" 1.25 161.32 11.37 NA NA
"DDTCZZC17211241" 1 3 "公" "育1" 171 "DDTCZZC15202726" 1.6 152.69 13.73 NA NA
"DDTCZZC17214501" 1 4 "公" "育1" 174 "DDTCZZC15202168" 1.7 181.11 9.92 NA NA
"DDTCZZC17213028" 1 3 "母" "育1" 171 "DDTCZZC15202757" 1.6 176.53 9.46 NA NA
"DDTCZZC17212805" 1 4 "母" "育2" 173 "DDTCZZC15202726" 1.8 191.46 9.97 NA NA
"DDTCZZC16207722" 1 1 "母" "育1" 162 "DDTCZZC15202811" 1.1 174.75 9.2 NA NA
"DDTCZZC17214647" 1 2 "母" "育1" 173 "DDTCZZC16209762" 2.3 166.19 9.56 NA NA
"DDTCZZC14200072" 1 0 "母" "育1" 141 "DDTCZZC13020433" 0 181.76 12.73 NA NA
"DDTCZZC18218414" 1 3 "母" "育3" 182 "DDTCZZC16207340" 2 168.29 9.61 NA NA
"DDTCZZC18216352" 1 1 "公" "育3" 181 "DDTCZZC17214126" 1.4 177.4 12.18 NA NA
"DDTCZZC18216196" 1 1 "母" "育2" 183 "DDTCZZC17211337" 1.5 168.59 8.9 NA NA
"DDTCZZC16207609" 1 4 "母" "育1" 162 "DDTCZZC14200683" 1.8 164.27 9.14 NA NA
"DDTCZZC17213183" 1 1 "公" "育1" 172 "DDTCZZC16208333" 1.9 204.73 12.19 NA NA
"DDTCZZC18216198" 1 1 "公" "育2" 183 "DDTCZZC17211337" 1.9 188.94 7.98 NA NA
"DDTCZZC18218175" 1 2 "公" "育1" 182 "DDTCZZC17213634" 2.2 160.91 6.75 NA NA
"DDTCZZC17213446" 1 4 "公" "育1" 171 "DDTCZZC15203773" 1.7 184.17 11.17 NA NA
"DDTCZZC16207560" 1 1 "母" "育3" 163 "DDTCZZC15206785" 1.4 165.4 7.41 NA NA
"DDTCZZC19227099" 1 4 "母" "育肥03" 193 "DDTCZZC17210066" 1.5 165.62 9.87 19.06 47.75
"DDTCZZC16209121" 1 0 "母" "育1" 161 "DDTCZZC15203739" 0 158.74 7.29 NA NA
"DDTCZZC16209431" 1 0 "公" "育1" 162 "DDTCZZC15203061" 1 183.38 9.48 NA NA
"DDTCZZC17217019" 1 4 "母" "育2" 173 "DDTCZZC15203147" 1.3 209.94 8.35 NA NA
"DDTCZZC18216698" 1 1 "公" "育3" 181 "DDTCZZC17213040" 1.5 207.11 13.24 NA NA
"DDTCZZC18220530" 1 2 "母" "育2" 183 "DDTCZZC17213336" 1.8 221.93 10.69 22.36 48.76
"DDTCZZC19227085" 1 3 "公" "测01" 193 "DDTCZZC17217591" 1.4 163.03 8.86 24.52 50.25
"DDTCZZC18219299" 1 2 "母" "育2" 183 "DDTCZZC17213406" 1.3 195.8 10.34 NA NA
"DDTCZZC18215295" 1 5 "母" "育2" 184 "DDTCZZC15203184" 1.8 185.57 11.22 NA NA
"DDTCZZC14203695" 1 0 "母" "育1" 143 "DDTCZZC13020445" 2.15 172.73 12.1 NA NA
"DDTCZZC15204081" 1 1 "公" "育1" 151 "DDTCZZC14200751" 1.6 167.07 14.2 NA NA
"DDTCZZC15202142" 1 3 "母" "育1" 154 "DDTCZZC13020437" 1.25 185.12 14.14 NA NA
"DDTCZZC15202315" 1 4 "公" "育1" 152 "DDTCZZC13020360" 2.25 162.13 12.55 NA NA
