ID	Sire	Dam	Order
DDTCZZC13020410	DDTCZZC12A918ET	DDTCZZC12B001FT	254
DDTCZZC14200068	DDTCZZC13020447	DDTCZZC13020410	255
DDTCZZC15201382	DDTCZZC13020476	DDTCZZC14200068	256
DDTCZZC17210993	DDTCZZC16208682	DDTCZZC15201382	257
DDTCZZC18216112	DDTCZZC17210069	DDTCZZC17210993	258
DDTCZZC13020480	DDTCZZC126923BT	DDTCZZC125321CT	259
DDTCZZC13020374	DDTCZZC126471MT	DDTCZZC12A022ET	260
DDTCZZC14201557	DDTCZZC13020480	DDTCZZC13020374	261
DDTCZZC126776MT			262
DDTCZZC13020446	DDTCZZC126923BT	DDTCZZC126776MT	263
DDTCZZC14200925	DDTCZZC13020476	DDTCZZC13020446	264
DDTCZZC16208466	DDTCZZC14201557	DDTCZZC14200925	265
DDTCZZC13020430	DDTCZZC125217KT	DDTCZZC127274MT	266
DDTCZZC14200371	DDTCZZC13020476	DDTCZZC13020430	267
DDTCZZC15202778	DDTCZZC14200007	DDTCZZC14200371	268
DDTCZZC12B305FT			269
DDTCZZC13020433	DDTCZZC12C933HT	DDTCZZC12B305FT	270
DDTCZZC14200071	DDTCZZC13020480	DDTCZZC13020433	271
DDTCZZC15201695	DDTCZZC13020476	DDTCZZC14200071	272
DDTCZZC16207157	DDTCZZC15202778	DDTCZZC15201695	273
DDTCZZC14200404	DDTCZZC13020457	DDTCZZC13020377	274
DDTCZZC15204663	DDTCZZC13020453	DDTCZZC14200404	275
DDTCZZC16205090	DDTCZZC14200548	DDTCZZC15204663	276
DDTCZZC128053RT	DDTCZZC11B62SCG	DDTCZZC114155CT	277
DDTCZZC13020467	DDTCZZC126471MT	DDTCZZC128053RT	278
DDTCZZC12B186XT			279
DDTCZZC13020421	DDTCZZC12A959BT	DDTCZZC12B186XT	280
DDTCZZC15203701	DDTCZZC13020467	DDTCZZC13020421	281
DDTCZZC16209273	DDTCZZC14203535	DDTCZZC15203701	282
DDTCZZC15202767	DDTCZZC14200548	DDTCZZC14200511	283
DDTCZZC14200924	DDTCZZC13020476	DDTCZZC13020446	284
DDTCZZC16207526	DDTCZZC15202767	DDTCZZC14200924	285
DDTCZZC15202957	DDTCZZC14200363	DDTCZZC14200387	286
DDTCZZC16208670	DDTCZZC15204907	DDTCZZC15202957	287
DDTCZZC126933JT	DDTCZZC11B528XT	DDTCZZC11A732RT	288
DDTCZZC13020472	DDTCZZC12E088RT	DDTCZZC126933JT	289
DDTCZZC15203739	DDTCZZC13020472	DDTCZZC13020423	290
DDTCZZC17212992	DDTCZZC16208670	DDTCZZC15203739	291
DDTCZZC17214853	DDTCZZC15204907	DDTCZZC15202363	292
DDTCZZC18220590	DDTCZZC17212992	DDTCZZC17214853	293
DDTCZZC15201709	DDTCZZC13020485	DDTCZZC13020430	294
DDTCZZC17213649	DDTCZZC15201681	DDTCZZC15201709	295
DDTCZZC12B742GT			296
DDTCZZC13020489	DDTCZZC125217KT	DDTCZZC12B742GT	297
DDTCZZC14200076	DDTCZZC13020481	DDTCZZC13020489	298
DDTCZZC15202752	DDTCZZC14203535	DDTCZZC14200076	299
DDTCZZC14200077	DDTCZZC13020481	DDTCZZC13020489	300
DDTCZZC15202546	DDTCZZC14200007	DDTCZZC14200077	301
DDTCZZC17213750	DDTCZZC15202752	DDTCZZC15202546	302
DDTCZZC18216363	DDTCZZC17213649	DDTCZZC17213750	303
DDTCZZC15205935	DDTCZZC14201198	DDTCZZC13020446	304
DDTCZZC16208382	DDTCZZC15205935	DDTCZZC15206712	305
DDTCZZC16210636	DDTCZZC15202951	DDTCZZC14201261	306
DDTCZZC18216978	DDTCZZC16208382	DDTCZZC16210636	307
DDTCZZC20223978	DDTCZZC18216363	DDTCZZC18216978	308
DDTCZZC15206100	DDTCZZC14203606	DDTCZZC14201261	309
DDTCZZC15205936	DDTCZZC14201198	DDTCZZC13020446	310
DDTCZZC15202726	DDTCZZC14201151	DDTCZZC14200387	311
DDTCZZC16207783	DDTCZZC15205936	DDTCZZC15202726	312
DDTCZZC15206451	DDTCZZC14200127	DDTCZZC13020345	313
DDTCZZC15202955	DDTCZZC14200363	DDTCZZC14200387	314
DDTCZZC16207307	DDTCZZC15206451	DDTCZZC15202955	315
DDTCZZC12A001FT			316
DDTCZZC13020334	DDTCZZC12B918ET	DDTCZZC12A001FT	317
DDTCZZC14200033	DDTCZZC13020471	DDTCZZC13020334	318
DDTCZZC12798207	DDTCZZC113907FT	DDTCZZC11B319PT	319
DDTCZZC13020394	DDTCZZC12C933HT	DDTCZZC12798207	320
DDTCZZC15203498	DDTCZZC14200033	DDTCZZC13020394	321
DDTCZZC12B181CT			322
DDTCZZC13020405	DDTCZZC125217KT	DDTCZZC12B181CT	323
DDTCZZC14201507	DDTCZZC13020469	DDTCZZC13020405	324
DDTCZZC15203740	DDTCZZC13020472	DDTCZZC13020423	325
DDTCZZC16208732	DDTCZZC14201507	DDTCZZC15203740	326
DDTCZZC15203773	DDTCZZC13020460	DDTCZZC13020346	327
