ID	HTD	CDSD	DIMph	AGE	lg0	lg1	lg2	lg3	lg4	Milkyield
310204130872	26320182	20173	9	28	0.707106781	-0.282052121	-0.664806252	0.589155123	0.399673331	36
310204130872	26320183	20173	11	28	0.707106781	-0.103913939	-0.773525502	0.235248496	0.738699256	33
310204130872	26320184	20173	12	29	0.707106781	0.066801818	-0.783543702	-0.152308788	0.771902255	36
310204130872	26320186	20173	16	31	0.707106781	0.482457576	-0.422540037	-0.819558008	-0.215505167	31
310204130872	26320187	20173	18	32	0.707106781	0.68286303	-0.053260466	-0.753945473	-0.78060267	26
310204130872	263201711	20173	2	24	0.707106781	-1.024294545	0.86841395	-0.38923357	-0.227884068	32
310204141172	26320181	20173	4	28	0.707106781	-0.809044242	0.244410751	0.505474101	-0.908559737	38
310204141172	26320182	20173	7	29	0.707106781	-0.54183697	-0.326365315	0.836516606	-0.406014689	39
310204141172	26320183	20173	8	30	0.707106781	-0.363698788	-0.581437403	0.71087638	0.166121075	35
310204141172	26320184	20173	10	31	0.707106781	-0.19298303	-0.731710406	0.423896246	0.603688871	37
310204141172	26320185	20173	11	32	0.707106781	0	-0.7906	0	0.7954875	35
310204141172	26320186	20173	13	33	0.707106781	0.222672727	-0.712196694	-0.482114382	0.542658561	31
310204141172	26320187	20173	15	34	0.707106781	0.423078182	-0.507564066	-0.776611773	-0.02166476	32
310204141172	26320188	20173	17	35	0.707106781	0.638328485	-0.146299056	-0.80040462	-0.680632986	23
310204130006	26320181	20173	9	28	0.707106781	-0.259784848	-0.683884389	0.550623455	0.456344206	28
310204130006	26320182	20173	12	29	0.707106781	0.007422424	-0.790512885	-0.017006492	0.795195322	30
310204130006	26320183	20173	13	30	0.707106781	0.185560606	-0.73615326	-0.408920037	0.617759774	29
310204130006	26320184	20173	15	31	0.707106781	0.356276364	-0.589887537	-0.701216393	0.188749046	25
310204130006	26320185	20173	16	32	0.707106781	0.549259394	-0.313559442	-0.836649876	-0.429078843	28
310204130006	26320186	20173	18	33	0.707106781	0.771932121	0.151633506	-0.597607352	-0.900042463	26
310204130006	26320187	20173	20	34	0.707106781	0.972337576	0.704376812	0.112660984	-0.531307514	23
310204130006	263201710	20173	3	25	0.707106781	-0.97976	0.727288	-0.149666295	-0.4942629	33
310204130006	263201711	20173	5	26	0.707106781	-0.73482	0.063212	0.67349833	-0.8654904	33
310204141113	263201811	20183	2	24	0.707106781	-1.039139394	0.91684977	-0.475919412	-0.121311428	32
310204141113	263201812	20183	4	25	0.707106781	-0.853578788	0.361493021	0.372374924	-0.878768605	32
310204141113	26320191	20183	6	26	0.707106781	-0.653173333	-0.115983111	0.78713385	-0.716344678	31
310204141113	26320192	20183	8	27	0.707106781	-0.371121212	-0.572813039	0.720230263	0.143269509	31
310204141113	26320193	20183	10	28	0.707106781	-0.118758788	-0.768298615	0.267855899	0.721507425	34
310204141113	26320194	20183	12	29	0.707106781	0.05195697	-0.786331376	-0.118695613	0.781200249	33
310204141113	26320195	20183	14	30	0.707106781	0.289474545	-0.658098413	-0.601532568	0.380033336	33
310204141113	26320196	20183	16	31	0.707106781	0.549259394	-0.313559442	-0.836649876	-0.429078843	31
310204131452	263201811	20183	2	24	0.707106781	-1.091096364	1.091863372	-0.807197222	0.328291061	27
310204131452	263201812	20183	3	25	0.707106781	-0.905535758	0.506016448	0.18431023	-0.779615073	37
310204131452	26320191	20183	5	26	0.707106781	-0.705130303	-0.004389073	0.723041426	-0.821672141	34
310204131452	26320192	20183	8	27	0.707106781	-0.423078182	-0.507564066	0.776611773	-0.02166476	39
310204131452	26320193	20183	10	28	0.707106781	-0.170715758	-0.744516279	0.378505341	0.644422879	39
310204131452	26320194	20183	11	29	0.707106781	0	-0.7906	0	0.7954875	36
310204131452	26320195	20183	14	30	0.707106781	0.237517576	-0.701394461	-0.510123972	0.509414237	36
310204131452	26320196	20183	16	31	0.707106781	0.497302424	-0.399541734	-0.826358939	-0.263838483	30
310204130235	263201811	20183	1	24	0.707106781	-1.143053333	1.275414222	-1.183472373	0.908413989	33
